username,hashtags,retweets,url,punctuations,sentence_length,emoji,label
b2d5748083d6fdffec6c2d68d4d4442d,10,0,198,20.52,35.36,150,bot
2bed15d46872169dc7deaf8d2b43a56,13,0,204,19.94,36.24,146,bot
25395a7dbd2caa3d828bb3dbd57d8857,149,0,196,21.81,35.75,153,bot
1c9f161414334b286c4dc70163744390,615,0,173,24.21,37.35,242,bot
1da1f87b3dc778f28268eec70ce94f19,331,0,192,24.28,36.01,212,bot
bd4286bfafb8a35b8e132a396b884e07,27,0,200,21.01,35.74,143,bot
af61c4c017f246da69285497baf3dc0b,9,0,195,20.44,36.25,154,bot
7a36090b20e7bddbe55561c52f959041,12,0,186,20.07,36.11,195,bot
5183ff5bedcab9a6a301ff04e27166cd,10,0,187,23.25,35.97,181,bot
6ac10734f35a773e9f2209f8668fffdf,4,0,192,20.79,38.66,248,bot
b5b06752b42d3c354cc8e126f030a864,0,0,0,2.27,11.06,0,bot
e2334dbd4f17861a5305e808eedbd195,1,0,0,2.38,12.43,2,bot
c6cb83581e942ea1b07a607c5eaefb49,1,0,0,2.25,11.2,1,bot
6270e73e5cf9a83ec96faa7d3972f9e1,0,0,0,2.27,10.67,0,bot
991a426dde6803bf77b6477a2c686ef2,1,0,0,2.11,10.81,1,bot
fed0a94b487a37d43313c2e10841d11f,1,0,0,2.66,11.3,0,bot
344fc6cfa2762bebdf7d49afb56e2ee7,0,0,0,2.11,11.13,2,bot
4f29c1ea09b2d6ef919b31d86e243646,0,0,0,2.25,12.1,1,bot
48ea8296dc261f8c744ceb054b089ca3,1,0,0,2.08,11.21,2,bot
707549dcdb6037769bc87b51821ca9eb,0,0,0,2.22,11.28,5,bot
7473a712f9d25003c0b262da77d05a81,569,102,54,15.95,16.05,98,bot
60840ddc48c986a1e3c77d2416a146b4,683,98,46,16.05,17.02,91,bot
ff339848f33aeeefacea8248d36604d2,603,105,51,16.14,16.31,102,bot
71f7d13771bc9b2662c759bdb0214c0f,648,101,49,16.86,17.36,89,bot
8e97035efae463eea9b2b8ddc1a55f51,575,101,54,15.83,16.91,94,bot
a16d865fe24049e64d497346e55d9f9e,541,101,57,16.3,17.32,103,bot
10d5df00273af4b02509ca9813224ae5,531,100,49,15.11,15.95,103,bot
953aac410bf1c9f8b14dc00c07d5e8eb,539,97,60,15.61,17.54,90,bot
37c988debca526d34a2f00026d8243c1,567,97,55,16.47,18.08,86,bot
66cc6969c3b446e9efbcf30e6d1a70d9,642,91,61,17.8,18.74,77,bot
d296fc545f5fbb64df2d74d7ea409b22,1,1,0,77.93,0.22,7192,bot
6210b8e860c1feb31a63fb36a3361f99,0,0,0,80.08,0.0,7408,bot
3c5fe804cda60526456b98f48cec0bd7,0,0,0,77.17,0.0,7117,bot
f4fb710a62011e613f87629e95981df4,0,0,0,78.55,0.0,7255,bot
84cbffc7422edcb498a438685e2443f9,0,0,0,78.75,0.0,7275,bot
1cac1752ecbe57035e47020a38ad8c29,0,1,0,79.74,0.17,7364,bot
cfa8d3682dd28178baf5d9d46cbaf374,0,0,0,78.37,0.0,7237,bot
ff600937e17c79eb06a46240a826a4da,0,0,0,79.95,0.0,7395,bot
ee786d346f6cc8186608464e60de6504,0,0,0,78.04,0.0,7204,bot
9076bd0a62467bfc0661597e893feaf5,0,1,0,76.88,0.07,7080,bot
9f6351bc434c0c096d1f9056370ef3a2,0,0,44,4.78,13.25,3,bot
f83159a3875426eb4a312bcb4b76a980,0,0,44,4.82,12.27,4,bot
9fd806a2b6a65697f50d54deda7e73f1,0,0,45,4.66,13.52,8,bot
f196342e1ce27dab94067909af3b23a5,0,0,46,4.9,12.59,3,bot
12c416b87c4953672c6af3ba60354a22,0,0,49,5.01,12.61,3,bot
9c33ebc1e4fabdc3f89225aacbb9313b,0,0,45,4.39,12.6,6,bot
48df8df74381fba02c8ca67ec8d205bd,0,0,47,4.8,13.36,4,bot
b3ac8a5d2e6663d39d429e34c6a73f12,0,0,50,4.96,12.22,7,bot
8702280636a0b06a5cfc3402b4ff7843,0,0,40,4.48,12.44,3,bot
d4c15e43c820dc3c2e4e9d4075f999be,0,0,43,4.73,12.75,3,bot
2091ef9cb8f66d6519a5f148e80a556c,0,0,102,14.01,17.71,21,bot
e271cd2f601b597892fb94667e9d01df,0,0,103,13.61,17.89,17,bot
5eac73ffe02c4a947bb26658421a5b73,1,0,105,14.15,17.9,16,bot
6f7316606df3a7798e16e6a858b9f768,4,0,102,13.97,18.1,25,bot
81100c2e026b2de0801a0c5142e8209b,1,0,100,13.08,18.37,18,bot
ec1a2c5cfcae34b572cd8ebf4f3ebec3,2,0,102,14.05,17.81,23,bot
3a4fc10789d1188d7ee3c5aed8edf92b,0,0,102,13.54,18.32,18,bot
acd7ac8b3f150e34356c8aa639bf19ca,1,0,102,14.0,18.05,21,bot
b33874bc30342500824370373f90f244,1,0,103,13.96,17.83,23,bot
9f74d9af28fb57447ca82a065139dcda,6,0,100,12.67,18.45,30,bot
edc61d225c97cdb371a3c9a3d57c1db6,0,0,52,5.08,12.4,5,bot
2e8e7fcb59a91b541e4cbb3c620a502a,0,0,45,4.62,12.31,9,bot
43d6d623d1f8e46f4d3be276bc36ca79,0,0,48,4.93,13.33,4,bot
